
======================================================================
simulate_voltage_clamp  (wall time: 0.450 s)
======================================================================
         536725 function calls (536713 primitive calls) in 0.450 seconds

   Ordered by: cumulative time
   List reduced from 158 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.018    0.018    0.450    0.450 /home/jim/dev/ap-sim/ap_sim/clamp_simulations.py:250(simulate_voltage_clamp)
     3999    0.056    0.000    0.297    0.000 /home/jim/dev/ap-sim/ap_sim/clamp_simulations.py:174(_rk4_step_voltage_clamp)
    15996    0.079    0.000    0.219    0.000 /home/jim/dev/ap-sim/ap_sim/clamp_simulations.py:104(_gating_derivatives)
    12000    0.030    0.000    0.131    0.000 /home/jim/dev/ap-sim/ap_sim/clamp_simulations.py:74(_compute_channel_current)
    12000    0.029    0.000    0.059    0.000 /home/jim/dev/ap-sim/ap_sim/channels.py:176(reversal_potential)
    95982    0.039    0.000    0.054    0.000 /home/jim/dev/ap-sim/ap_sim/utils.py:16(safe_exp)
     8000    0.008    0.000    0.038    0.000 /home/jim/dev/ap-sim/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:3287(prod)
    15997    0.020    0.000    0.033    0.000 /home/jim/dev/ap-sim/ap_sim/core_channels.py:53(alpha_m)
    15997    0.019    0.000    0.031    0.000 /home/jim/dev/ap-sim/ap_sim/core_channels.py:21(alpha_n)
     8000    0.012    0.000    0.029    0.000 /home/jim/dev/ap-sim/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:66(_wrapreduction)
     3999    0.006    0.000    0.021    0.000 /home/jim/dev/ap-sim/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2207(clip)
    15997    0.011    0.000    0.020    0.000 /home/jim/dev/ap-sim/ap_sim/core_channels.py:98(beta_h)
    15997    0.010    0.000    0.019    0.000 /home/jim/dev/ap-sim/ap_sim/core_channels.py:85(alpha_h)
    15997    0.009    0.000    0.018    0.000 /home/jim/dev/ap-sim/ap_sim/core_channels.py:72(beta_m)
    15997    0.009    0.000    0.018    0.000 /home/jim/dev/ap-sim/ap_sim/core_channels.py:40(beta_n)
    95982    0.015    0.000    0.015    0.000 {built-in method math.exp}
     3999    0.003    0.000    0.015    0.000 /home/jim/dev/ap-sim/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:48(_wrapfunc)
     8001    0.015    0.000    0.015    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    12000    0.011    0.000    0.011    0.000 /home/jim/dev/ap-sim/ap_sim/electrochemistry.py:20(nernst_potential)
     3999    0.002    0.000    0.011    0.000 {method 'clip' of 'numpy.ndarray' objects}
    12000    0.006    0.000    0.010    0.000 <frozen importlib._bootstrap>:645(parent)
     3999    0.008    0.000    0.008    0.000 /home/jim/dev/ap-sim/.venv/lib/python3.13/site-packages/numpy/_core/_methods.py:96(_clip)
    31994    0.006    0.000    0.006    0.000 {built-in method builtins.abs}
    12000    0.005    0.000    0.005    0.000 /home/jim/dev/ap-sim/ap_sim/hodgkin_huxley.py:237(ion_concentrations)
    12000    0.004    0.000    0.004    0.000 {method 'rpartition' of 'str' objects}
    12217    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
     4000    0.002    0.000    0.002    0.000 {built-in method builtins.sum}
    15996    0.002    0.000    0.002    0.000 /home/jim/dev/ap-sim/.venv/lib/python3.13/site-packages/numpy/_core/multiarray.py:115(empty_like)
     8001    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
12055/12046    0.002    0.000    0.002    0.000 {built-in method builtins.len}




======================================================================
simulate_current_clamp  (wall time: 1.072 s)
======================================================================
         1240500 function calls (1240491 primitive calls) in 1.072 seconds

   Ordered by: cumulative time
   List reduced from 142 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.021    0.021    1.072    1.072 /home/jim/dev/ap-sim/ap_sim/clamp_simulations.py:358(simulate_current_clamp)
     3999    0.067    0.000    0.918    0.000 /home/jim/dev/ap-sim/ap_sim/clamp_simulations.py:210(_rk4_step_current_clamp)
    15996    0.031    0.000    0.826    0.000 /home/jim/dev/ap-sim/ap_sim/clamp_simulations.py:141(_hh_derivatives)
    59988    0.147    0.000    0.629    0.000 /home/jim/dev/ap-sim/ap_sim/clamp_simulations.py:74(_compute_channel_current)
    19996    0.029    0.000    0.556    0.000 {built-in method builtins.sum}
    63984    0.028    0.000    0.527    0.000 /home/jim/dev/ap-sim/ap_sim/clamp_simulations.py:165(<genexpr>)
    59988    0.139    0.000    0.283    0.000 /home/jim/dev/ap-sim/ap_sim/channels.py:176(reversal_potential)
    15996    0.086    0.000    0.238    0.000 /home/jim/dev/ap-sim/ap_sim/clamp_simulations.py:104(_gating_derivatives)
    39992    0.041    0.000    0.182    0.000 /home/jim/dev/ap-sim/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:3287(prod)
    39992    0.058    0.000    0.141    0.000 /home/jim/dev/ap-sim/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:66(_wrapreduction)
    39993    0.071    0.000    0.071    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    95982    0.042    0.000    0.059    0.000 /home/jim/dev/ap-sim/ap_sim/utils.py:16(safe_exp)
    59988    0.055    0.000    0.055    0.000 /home/jim/dev/ap-sim/ap_sim/electrochemistry.py:20(nernst_potential)
    59988    0.029    0.000    0.048    0.000 <frozen importlib._bootstrap>:645(parent)
    15997    0.022    0.000    0.037    0.000 /home/jim/dev/ap-sim/ap_sim/core_channels.py:53(alpha_m)
    15997    0.020    0.000    0.032    0.000 /home/jim/dev/ap-sim/ap_sim/core_channels.py:21(alpha_n)
     3999    0.006    0.000    0.023    0.000 /home/jim/dev/ap-sim/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2207(clip)
    15997    0.012    0.000    0.021    0.000 /home/jim/dev/ap-sim/ap_sim/core_channels.py:98(beta_h)
    59988    0.021    0.000    0.021    0.000 /home/jim/dev/ap-sim/ap_sim/hodgkin_huxley.py:237(ion_concentrations)
    15997    0.010    0.000    0.020    0.000 /home/jim/dev/ap-sim/ap_sim/core_channels.py:85(alpha_h)
    15997    0.010    0.000    0.020    0.000 /home/jim/dev/ap-sim/ap_sim/core_channels.py:72(beta_m)
    59988    0.019    0.000    0.019    0.000 {method 'rpartition' of 'str' objects}
    15997    0.010    0.000    0.019    0.000 /home/jim/dev/ap-sim/ap_sim/core_channels.py:40(beta_n)
    95982    0.017    0.000    0.017    0.000 {built-in method math.exp}
     3999    0.004    0.000    0.016    0.000 /home/jim/dev/ap-sim/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:48(_wrapfunc)
76033/76024    0.014    0.000    0.014    0.000 {built-in method builtins.len}
    39993    0.012    0.000    0.012    0.000 {method 'items' of 'dict' objects}
    60205    0.012    0.000    0.012    0.000 {built-in method builtins.isinstance}
     3999    0.003    0.000    0.011    0.000 {method 'clip' of 'numpy.ndarray' objects}
     3999    0.009    0.000    0.009    0.000 /home/jim/dev/ap-sim/.venv/lib/python3.13/site-packages/numpy/_core/_methods.py:96(_clip)


