
======================================================================
simulate_voltage_clamp  (wall time: 0.339 s)
======================================================================
         492709 function calls (492699 primitive calls) in 0.339 seconds

   Ordered by: cumulative time
   List reduced from 150 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.021    0.021    0.339    0.339 /home/jim/dev/ap-sim/ap_sim/clamp_simulations.py:251(simulate_voltage_clamp)
     3999    0.023    0.000    0.242    0.000 /home/jim/dev/ap-sim/ap_sim/clamp_simulations.py:165(_rk4_step_voltage_clamp)
    15996    0.052    0.000    0.192    0.000 /home/jim/dev/ap-sim/ap_sim/clamp_simulations.py:69(_gating_derivatives)
    12000    0.012    0.000    0.071    0.000 /home/jim/dev/ap-sim/ap_sim/channels.py:208(compute_current)
    12000    0.029    0.000    0.060    0.000 /home/jim/dev/ap-sim/ap_sim/channels.py:176(reversal_potential)
    95982    0.040    0.000    0.056    0.000 /home/jim/dev/ap-sim/ap_sim/utils.py:16(safe_exp)
    15997    0.021    0.000    0.034    0.000 /home/jim/dev/ap-sim/ap_sim/core_channels.py:53(alpha_m)
    15997    0.019    0.000    0.031    0.000 /home/jim/dev/ap-sim/ap_sim/core_channels.py:21(alpha_n)
    15997    0.011    0.000    0.020    0.000 /home/jim/dev/ap-sim/ap_sim/core_channels.py:98(beta_h)
    15997    0.010    0.000    0.019    0.000 /home/jim/dev/ap-sim/ap_sim/core_channels.py:72(beta_m)
    15997    0.009    0.000    0.019    0.000 /home/jim/dev/ap-sim/ap_sim/core_channels.py:40(beta_n)
    15997    0.009    0.000    0.018    0.000 /home/jim/dev/ap-sim/ap_sim/core_channels.py:85(alpha_h)
    95982    0.016    0.000    0.016    0.000 {built-in method math.exp}
     3999    0.009    0.000    0.015    0.000 /home/jim/dev/ap-sim/ap_sim/clamp_simulations.py:153(_clip_state)
    12000    0.012    0.000    0.012    0.000 /home/jim/dev/ap-sim/ap_sim/electrochemistry.py:20(nernst_potential)
    11997    0.010    0.000    0.010    0.000 /home/jim/dev/ap-sim/ap_sim/clamp_simulations.py:135(_advance_state)
    12000    0.006    0.000    0.010    0.000 <frozen importlib._bootstrap>:645(parent)
    31994    0.006    0.000    0.006    0.000 {built-in method builtins.abs}
    12000    0.005    0.000    0.005    0.000 /home/jim/dev/ap-sim/ap_sim/hodgkin_huxley.py:183(ion_concentrations)
    12000    0.004    0.000    0.004    0.000 {method 'rpartition' of 'str' objects}
    15996    0.003    0.000    0.003    0.000 {built-in method builtins.max}
    11997    0.003    0.000    0.003    0.000 {built-in method builtins.min}
    12217    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
     8000    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
     4000    0.002    0.000    0.002    0.000 {built-in method builtins.sum}
    12000    0.002    0.000    0.002    0.000 /home/jim/dev/ap-sim/ap_sim/channels.py:46(valence)
        1    0.000    0.000    0.001    0.001 /home/jim/dev/ap-sim/.venv/lib/python3.13/site-packages/pandas/core/frame.py:702(__init__)
        1    0.000    0.000    0.001    0.001 /home/jim/dev/ap-sim/.venv/lib/python3.13/site-packages/pandas/core/internals/construction.py:375(dict_to_mgr)
        1    0.000    0.000    0.001    0.001 /home/jim/dev/ap-sim/.venv/lib/python3.13/site-packages/pandas/core/internals/construction.py:96(arrays_to_mgr)
        2    0.000    0.000    0.000    0.000 /home/jim/dev/ap-sim/.venv/lib/python3.13/site-packages/pandas/core/indexes/base.py:486(__new__)




======================================================================
simulate_current_clamp  (wall time: 0.668 s)
======================================================================
         972555 function calls (972546 primitive calls) in 0.668 seconds

   Ordered by: cumulative time
   List reduced from 136 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.023    0.023    0.668    0.668 /home/jim/dev/ap-sim/ap_sim/clamp_simulations.py:369(simulate_current_clamp)
     3999    0.032    0.000    0.576    0.000 /home/jim/dev/ap-sim/ap_sim/clamp_simulations.py:205(_rk4_step_current_clamp)
    15996    0.022    0.000    0.517    0.000 /home/jim/dev/ap-sim/ap_sim/clamp_simulations.py:103(_hh_derivatives)
    59988    0.052    0.000    0.316    0.000 /home/jim/dev/ap-sim/ap_sim/channels.py:208(compute_current)
    19996    0.025    0.000    0.301    0.000 {built-in method builtins.sum}
    63984    0.025    0.000    0.277    0.000 /home/jim/dev/ap-sim/ap_sim/clamp_simulations.py:127(<genexpr>)
    59988    0.132    0.000    0.265    0.000 /home/jim/dev/ap-sim/ap_sim/channels.py:176(reversal_potential)
    15996    0.053    0.000    0.195    0.000 /home/jim/dev/ap-sim/ap_sim/clamp_simulations.py:69(_gating_derivatives)
    95982    0.041    0.000    0.056    0.000 /home/jim/dev/ap-sim/ap_sim/utils.py:16(safe_exp)
    59988    0.051    0.000    0.051    0.000 /home/jim/dev/ap-sim/ap_sim/electrochemistry.py:20(nernst_potential)
    59988    0.027    0.000    0.044    0.000 <frozen importlib._bootstrap>:645(parent)
    15997    0.021    0.000    0.035    0.000 /home/jim/dev/ap-sim/ap_sim/core_channels.py:53(alpha_m)
    15997    0.019    0.000    0.031    0.000 /home/jim/dev/ap-sim/ap_sim/core_channels.py:21(alpha_n)
    15997    0.012    0.000    0.021    0.000 /home/jim/dev/ap-sim/ap_sim/core_channels.py:98(beta_h)
    59988    0.020    0.000    0.020    0.000 /home/jim/dev/ap-sim/ap_sim/hodgkin_huxley.py:183(ion_concentrations)
    15997    0.010    0.000    0.019    0.000 /home/jim/dev/ap-sim/ap_sim/core_channels.py:72(beta_m)
    15997    0.009    0.000    0.019    0.000 /home/jim/dev/ap-sim/ap_sim/core_channels.py:85(alpha_h)
    15997    0.009    0.000    0.018    0.000 /home/jim/dev/ap-sim/ap_sim/core_channels.py:40(beta_n)
    59988    0.017    0.000    0.017    0.000 {method 'rpartition' of 'str' objects}
     3999    0.009    0.000    0.016    0.000 /home/jim/dev/ap-sim/ap_sim/clamp_simulations.py:153(_clip_state)
    95982    0.015    0.000    0.015    0.000 {built-in method math.exp}
    11997    0.011    0.000    0.011    0.000 /home/jim/dev/ap-sim/ap_sim/clamp_simulations.py:135(_advance_state)
    60205    0.010    0.000    0.010    0.000 {built-in method builtins.isinstance}
    59988    0.008    0.000    0.008    0.000 /home/jim/dev/ap-sim/ap_sim/channels.py:46(valence)
    31994    0.006    0.000    0.006    0.000 {built-in method builtins.abs}
    15996    0.003    0.000    0.003    0.000 {built-in method builtins.max}
    11997    0.003    0.000    0.003    0.000 {built-in method builtins.min}
     8000    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 /home/jim/dev/ap-sim/.venv/lib/python3.13/site-packages/pandas/core/frame.py:702(__init__)
        1    0.000    0.000    0.001    0.001 /home/jim/dev/ap-sim/.venv/lib/python3.13/site-packages/pandas/core/internals/construction.py:375(dict_to_mgr)


